bandwidth_multiple,power
1.000000000000000056e-01,1.000000000000000056e-01
2.500000000000000000e-01,3.200000000000000067e-01
5.000000000000000000e-01,4.400000000000000022e-01
7.500000000000000000e-01,6.800000000000000488e-01
1.000000000000000000e+00,7.399999999999999911e-01
1.500000000000000000e+00,7.600000000000000089e-01
2.000000000000000000e+00,8.000000000000000444e-01
3.000000000000000000e+00,7.800000000000000266e-01
5.000000000000000000e+00,8.199999999999999512e-01
1.000000000000000000e+01,7.800000000000000266e-01
