mmd_stat,p_value
1.021424832263750915e-02,4.975124378109452641e-03
-3.323918877533804661e-03,9.203980099502487855e-01
2.523713527349258356e-03,1.890547263681592038e-01
-3.678680468924389046e-03,9.751243781094527385e-01
3.076591880905032994e-03,1.592039800995024845e-01
3.353112526449653075e-04,3.681592039800994920e-01
-4.813057768835449224e-04,5.174129353233830608e-01
4.374232438358882646e-03,5.472636815920398079e-02
1.369271077616085464e-03,3.034825870646766233e-01
3.444403434551546184e-03,1.393034825870646809e-01
1.011970558829400346e-03,3.034825870646766233e-01
-1.095281116833213275e-03,6.567164179104477695e-01
3.307492787512078536e-04,4.577114427860696777e-01
2.463161648944334203e-03,1.741293532338308581e-01
3.906947342670274992e-03,6.965174129353234045e-02
-3.010060405908898673e-03,8.656716417910447214e-01
-1.605674549755908842e-03,7.014925373134328623e-01
1.738459833964034473e-03,2.686567164179104461e-01
-1.012150103412379210e-03,5.970149253731342753e-01
-3.422822022195237679e-03,9.203980099502487855e-01
3.750705705372059384e-04,3.532338308457711462e-01
-1.788609155388698468e-04,4.925373134328357994e-01
-3.774791732659155130e-03,9.701492537313433084e-01
-4.303410017872044691e-03,9.800995024875621686e-01
-2.304447140319965115e-03,7.661691542288556755e-01
-1.627814840698960097e-07,4.378109452736318463e-01
-2.766599073648290386e-03,8.905472636815920939e-01
9.042919650368297368e-04,4.029850746268656692e-01
3.562450259442018208e-03,1.044776119402985037e-01
-3.766444264025503585e-03,9.402985074626866169e-01
-3.699583127755978751e-03,9.402985074626866169e-01
1.069190138205611262e-03,3.283582089552238847e-01
-3.898945987881763386e-03,9.800995024875621686e-01
-5.134366924046673830e-04,4.726368159203980235e-01
-1.869422092111827638e-03,7.412935323383084141e-01
-2.647132114849126694e-03,8.606965174129352913e-01
7.735385377172221411e-04,3.681592039800994920e-01
4.610319426744613480e-03,3.980099502487562113e-02
4.287170161073383667e-03,7.462686567164178442e-02
-1.194630991220524407e-03,5.820895522388059851e-01
