kernel,bandwidth,num_permutations,mmd2,p_value
rbf,median,10,0.08740498886386372,0.09090909090909091
rbf,1.0,10,9.998336958620373e-08,0.09090909090909091
linear,,10,13.480567863863854,0.09090909090909091
poly,,10,0.0023685214076381075,0.09090909090909091
poly,,10,0.0589633728728729,0.09090909090909091
laplace,median,10,0.00020175749317776813,0.09090909090909091
laplace,0.5,10,2.9511425282333505e-11,0.09090909090909091
matern,median,10,0.07976514016921155,0.09090909090909091
rbf,median,50,0.08740498886386372,0.0196078431372549
rbf,1.0,50,9.998336958620373e-08,0.0196078431372549
linear,,50,13.480567863863854,0.0196078431372549
poly,,50,0.0023685214076381075,0.0196078431372549
poly,,50,0.0589633728728729,0.0196078431372549
laplace,median,50,0.00020175749317776813,0.0196078431372549
laplace,0.5,50,2.9511425282333505e-11,0.0196078431372549
matern,median,50,0.07976514016921155,0.0196078431372549
rbf,median,100,0.08740498886386372,0.009900990099009901
rbf,1.0,100,9.998336958620373e-08,0.009900990099009901
linear,,100,13.480567863863854,0.009900990099009901
poly,,100,0.0023685214076381075,0.009900990099009901
poly,,100,0.0589633728728729,0.009900990099009901
laplace,median,100,0.00020175749317776813,0.009900990099009901
laplace,0.5,100,2.9511425282333505e-11,0.009900990099009901
matern,median,100,0.07976514016921155,0.009900990099009901
rbf,median,200,0.08740498886386372,0.004975124378109453
rbf,1.0,200,9.998336958620373e-08,0.004975124378109453
linear,,200,13.480567863863854,0.004975124378109453
poly,,200,0.0023685214076381075,0.004975124378109453
poly,,200,0.0589633728728729,0.004975124378109453
laplace,median,200,0.00020175749317776813,0.004975124378109453
laplace,0.5,200,2.9511425282333505e-11,0.004975124378109453
matern,median,200,0.07976514016921155,0.004975124378109453
