kernel,noise_level,mmd2,p_value
RBF (median),0.0,-0.007637892597853524,1.0
RBF (1.0),0.0,-0.019999995663752688,1.0
Linear,0.0,-1.0262868686868813,1.0
Poly (d=2),0.0,-0.0003071113046973651,1.0
Laplace (median),0.0,-0.019996967436611772,1.0
Matern (median),0.0,-0.01003120618817932,1.0
RBF (median),0.05,-0.006265455334595993,1.0
RBF (1.0),0.05,-0.011582021749553958,1.0
Linear,0.05,-0.7978574494949555,1.0
Poly (d=2),0.05,-0.00025322791205512236,1.0
Laplace (median),0.05,-0.003333798370231651,1.0
Matern (median),0.05,-0.00852854029371497,1.0
RBF (median),0.1,-0.0021028902304291996,0.7920792079207921
RBF (1.0),0.1,-0.002314030506754896,1.0
Linear,0.1,-0.15941792929294252,0.693069306930693
Poly (d=2),0.1,-0.00010806571883384755,0.9306930693069307
Laplace (median),0.1,-0.0004883868690674149,1.0
Matern (median),0.1,-0.00418321973218827,1.0
RBF (median),0.15,0.00459076704545458,0.019801980198019802
RBF (1.0),0.15,-0.00017693786175135425,1.0
Linear,0.15,0.9011315656565841,0.019801980198019802
Poly (d=2),0.15,0.00013604431152343562,0.04950495049504951
Laplace (median),0.15,1.6136243575539115e-05,0.25742574257425743
Matern (median),0.15,0.0025152963407085727,0.09900990099009901
RBF (median),0.2,0.013341173453282895,0.009900990099009901
RBF (1.0),0.2,-4.929315570003574e-06,1.0
Linear,0.2,2.3549266414141243,0.009900990099009901
Poly (d=2),0.2,0.00047417374427872333,0.009900990099009901
Laplace (median),0.2,0.00012358912678546829,0.009900990099009901
Matern (median),0.2,0.011081502837988033,0.009900990099009901
RBF (median),0.3,0.03547082050978512,0.009900990099009901
RBF (1.0),0.3,2.497260502592979e-07,0.009900990099009901
Linear,0.3,6.440097979797969,0.009900990099009901
Poly (d=2),0.3,0.0014332134670681437,0.009900990099009901
Laplace (median),0.3,0.00019388931961533782,0.009900990099009901
Matern (median),0.3,0.03273488506242006,0.009900990099009901
RBF (median),0.4,0.06164998619002504,0.009900990099009901
RBF (1.0),0.4,2.5012344294391013e-07,0.009900990099009901
Linear,0.4,12.226695454545478,0.009900990099009901
Poly (d=2),0.4,0.002909383014717489,0.009900990099009901
Laplace (median),0.4,0.0002938443085479094,0.009900990099009901
Matern (median),0.4,0.059500845941240055,0.009900990099009901
RBF (median),0.5,0.08546782769097239,0.009900990099009901
RBF (1.0),0.5,2.5012344592295777e-07,0.009900990099009901
Linear,0.5,18.785353156565662,0.009900990099009901
Poly (d=2),0.5,0.004717152158178464,0.009900990099009901
Laplace (median),0.5,0.00044566744499670633,0.009900990099009901
Matern (median),0.5,0.08551418220244666,0.009900990099009901
